"","Response.ID","IP.address","Response.status","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport"
"51","m5Ci8CqF","172.56.106.89","PARTIAL","Yes, I live here full-time","Quilcene","35-54","1","","","","2","","","","Very important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center","Less than once a month","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Several times a month","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","More than once a week","No"
"52","wrB669Dd","24.113.128.221","PARTIAL","Yes, I live here full-time","Port Ludlow","18-34","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","CqCYtVbP","75.172.47.205","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","35-54","1","0","1","1","1","0","0","1","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","uIDTjvpX","107.77.205.189","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","35-54","","","","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - mcminnamans","Less than once a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","4oC4AQ4f","24.113.157.100","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","2","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","wVCYD4M2","24.113.13.33","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"No","","Several times a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes"
"57","vLC4IKkz","75.172.127.184","PARTIAL","Yes, I live here full-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","hyCYb8Ul","24.113.167.87","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","TYCYD2qK","97.113.166.148","PARTIAL","Yes, I live here full-time","Discovery Bay","18-34","0","0","0","1","0","2","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","7iCihtw6","24.113.172.241","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","2","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","vXfp5WEH","4.53.157.136","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","0","O","O","O","O","1","1","O","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","LjCYPvXx","198.99.101.241","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","18-34","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","DIfh1OrR","24.113.162.106","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","","","","","","","","1","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","","","","","","","","","","","","","","","","","",""
"64","CQCYBRvP","24.113.175.87","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","No opinion/more information needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool","More than once a week","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Yes"
"65","PMEB0H1U","172.56.108.204","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","0","0","0","1","0","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","B8CYxrgJ","172.58.112.68","PARTIAL","Yes, I live here full-time","Quilcene","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","CLB6wxBk","24.113.171.251","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","2","","","","","","","","Very important",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","EWkaRMGf","98.97.45.210","PARTIAL","Yes, I live here full-time","Quilcene","55-64","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69","1mCYFICp","166.199.8.51","PARTIAL","Yes, I live here full-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","BQfsUQwv","24.113.12.89","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","jfkLrw7w","24.113.168.151","PARTIAL","Yes, I live here full-time","Port Hadlock-Irondale","35-54","","","","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y","Less than once a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","FpDTlMRK","98.97.41.7","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","75+","","","","","","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","Never","","","","","","","","","","","","","","","","","Never","No"
"73","B3kWzmmE","97.126.85.96","PARTIAL","Yes, I live here full-time","Marrowstone","35-54","3","2","2","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","18B6Nn9V","172.56.107.72","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","",""
"75","fgDTTURK","98.97.33.222","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","2","","","","2","","","","Very important",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y","Several times a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","JDDT3OEo","24.113.175.161","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","mkC4VOSK","64.184.145.20","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","1","","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","m7DTtmgu","64.184.145.20","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","2","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Townsend Y/Mountain View Pool","Less than once a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","gVDTh2gg","64.184.145.20","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Bainbridge Island,Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Several times a month","Very likely","Very likely","Not likely","Not likely","Very likely","Not likely","Very likely","Not likely","Very likely","Very likely","Very likely","","","","Very likely","Very likely","Very likely","Very likely","","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Yes"
"80","DbC49ILS","104.28.116.130","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Port Townsend Y/Mountain View Pool","Less than once a month","Not likely","Somewhat likely","","Not likely","Not likely","Not likely","","Not likely","Not likely","Not likely","","Not likely","","Somewhat likely","Somewhat likely","Not likely","Not likely","","Less than once a month","","","","","","","","","","","","","","","","","Less than once a month","I don't know/need more information"
"81","nEk07L6j","172.56.107.111","PARTIAL","Yes, I live here full-time","Chimacum","35-54","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","05kYVVKo","64.184.145.20","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","1","","2","","2","","","","Somewhat important",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Several times a month","","Very likely","","","","","","","","","","","","Very likely","Very likely","","","","Less than once a month","","","","","","","","","","","","","","","","","",""
"83","19B6uWA5","24.113.129.232","PARTIAL","Yes, I live here full-time","Port Ludlow","55-64","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","nGfAWYce","64.184.145.20","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","1","1","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","4vCYmOTZ","174.227.33.179","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","kMC4MSVb","97.126.102.108","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","b8CiQ5AU","24.113.148.94","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","0","1","1","0","2","0","0","0","Very important",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Silverdale Y,Port Townsend Y/Mountain View Pool","More than once a week","Somewhat likely","Very likely","Somewhat likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Very likely","Very likely","Not likely","Somewhat likely","Very likely","Several times a month","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Very likely","Very likely","Several times a month","Yes"
"88","aXfqDG3V","24.113.149.55","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","JQC4xRIP","64.146.218.15","PARTIAL","Yes, I live here full-time","Brinnon","18-34","","","","2","","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","","","","","","","","","","","","","","","Less than once a month","","","","","","","","","","","","","","","","","",""
"90","bKC4wpxG","64.146.218.15","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","bdDTfvrM","24.113.130.63","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","","","1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","StfFfwil","24.113.174.117","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","YNfB7bH5","24.113.172.21","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","1","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"Yes","Port Townsend Y/Mountain View Pool","Several times a month","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","T2CYwrxn","98.97.42.93","PARTIAL","Yes, I live here part-time","Quilcene","55-64","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","46C4RnSW","24.113.164.247","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","W3CKRi57","174.204.68.91","PARTIAL","Yes, I live here full-time","Chimacum","18-34","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","3JkZziTB","24.113.166.137","PARTIAL","Yes, I live here full-time","Port Ludlow","65-74","","","","","","","1","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","WufIa78z","24.113.12.89","PARTIAL","Yes, I live here full-time","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","4MC4cft9","174.21.137.204","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","jokrlsxz","64.184.145.7","PARTIAL","Yes, I live here full-time","Quilcene","18-34","","","","2","","","","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","cyfusTGx","97.113.189.10","PARTIAL","Yes, I live here full-time","Port Townsend (outside the city limits)","55-64","2","","","","","","","","No opinion/more information needed",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No"
"102","5KEBx5zs","209.166.87.82","PARTIAL","Yes, I live here full-time","Marrowstone","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Very likely","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes"
"103","J3DT6R9s","24.113.146.83","PARTIAL","Yes, I live here full-time","Port Townsend (within city limits)","75+","","","","","","","","1","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never",""
