"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"1719","V2DTsdnm","24.113.172.58","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/135.0  Mobile/15E148 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 18:13","2/15/2025 18:22","9 mins 20 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Discovery Bay","65-74","2","","","","","","","","Very important",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Less than once a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Very likely","Very likely","Not likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","More than once a week","Yes","I have developed a chlorine allergy, so I would dearly love a saline or other non-chlorinated pool"
"1730","c2CKeZgH","66.133.58.232","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/16/2025 7:27","2/16/2025 7:34","7 mins 4 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Orher","55-64","0","0","0","0","0","1","1","0","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","I don't want it. I don't need it. Only have people who are wanting it to pay for it and use it."
"1798","ewEBmEFF","75.172.55.171","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/17/2025 11:47","2/17/2025 12:02","15 mins 34 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Woodland Hills","65-74","","","","2","2","","1","","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Very likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","No","Just build the pool,  indoors.    Allow ground space for an outdoor pool or other expansion in the future.      Just get the pool[s] done and overwith.    Also,  DO keep the MountainView pool intact,   and fix it up [if it really needs fixing] in the future when money is available.  But mainly     get the Hadlock pool built."
"1973","ipC4px9w","174.231.130.208","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/500.0.0.52.98;FBBV/696635672;FBDV/iPhone15,4;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/20/2025 11:14","2/20/2025 11:22","7 mins 48 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Chimacum & Port Townsend","18-34","","","2","1","1","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","","Less than once a month","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Several times a month","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Very likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","More than once a week","Yes","I would love to take my future kids to this pool in the next decade. I would love to send my kids to swim lessons and other clubs and sports. Growing up here, it would be a dream come true to see a facility like this in our county. i strongly support the location being in Hadlock."
"2061","l5CixaHA","97.113.184.124","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/22/2025 17:11","2/22/2025 17:23","11 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Paradise Bay","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","No","We already have very high sales tax in this county & l don't think that people who will never use the facility should have to pay for it. With everything rising in price right now, a higher sales tax will only hurt people on low incomes. I also expect there will be monetary charges for use of the facilities & classes. While l feel this could be a nice asset to the community, the folks that want it  & intend to use it should figure put how to cover the cost."
"2087","juCiBz0X","172.56.106.206","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/23/2025 10:37","2/23/2025 10:53","16 mins 43 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Beaver Valley","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Never","No","We have an upcoming recycling crisis and the county wants to build a glorious rec center to benefit a few people. This is the same ridiculous grandiose thinking that drove the failed PDA at Fort Warden. If there is not enough funding and interest for a YMCA type rec center how can there be enough funding and need to run a glorious public rec center?"
"2213","2HC4myE0","24.113.20.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/27/2025 3:40","2/27/2025 4:07","26 mins 4 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Ocean Grove near Beckett Point","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Please just build a swimming facility. We can add the other things later, or build them in a better spot. Kids need to learn to swim and have a chance to have fun in the water. Many adults would benefit from being able to use a pool also. All that other stuff would be nice if there were lots more people paying for it, but it's just us - Jefferson County is dinky. Just build a pool or it will take forever and tax people out of their homes. Leave the other things to private businesses, not public money, please."
"2258","77C4soVB","98.97.40.6","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/28/2025 14:00","2/28/2025 14:09","9 mins 14 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Forks","65-74","0","0","0","0","0","0","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","It’s a poor use of funding which only benefits a small group people and not the whole county."
"2260","FtCiJofy","174.227.53.108","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/28/2025 14:14","2/28/2025 14:20","5 mins 41 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Forks","65-74","0","0","0","0","0","0","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","It’s a poor use of funding which only benefits a small group of people and not the whole county"
"2293","juCKJKuU","216.246.31.6","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/1/2025 17:58","3/1/2025 18:04","5 mins 52 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Tarboo valley, Quilceneaddress, Chimacum school districy","75+","","","","","","","","1","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes","Sequim Y","More than once a week","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","More than once a week","Yes",""
"2367","4KDTzF1R","24.113.166.179","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/4/2025 16:58","3/4/2025 17:07","9 mins 33 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Paradise Bay","75+","0","0","0","0","0","0","0","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"No","","Don't use an aquatic facility","Somewhat likely","Very likely","","Very likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes","A new facility would open up opportunities for a greater number of people to participate in aquatics and other activities in a more central facility. It would allow me to be able to swim again and participate in aquatic exercise without driving a great distance."
"2384","h0fyjJDB","194.113.66.173","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/5/2025 9:22","3/5/2025 9:35","12 mins 20 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Shine","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Once again, the south and east end of the county is being neglected.  We contribute the most property tax money to the county and get nothing in return.  This aquatic center should be privately funded like, getting the YMCA to build and run it."
"2431","TBCYQ8hm","172.56.106.191","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/7/2025 17:33","3/7/2025 17:36","3 mins 13 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify)","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Silverdale Y,Olympic Aquatic Center - Bremerton","Several times a month","Somewhat likely","","","Very likely","","","Very likely","","","","","","","","Very likely","Very likely","","","More than once a week","Not likely","Not likely","Not likely","","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","I am not a Jefferson County voter",""
"2449","bCDTV3jt","107.122.81.67","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/8/2025 8:17","3/8/2025 8:30","12 mins 55 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Port Townsend part of the year, and Hadlock for the other half.","35-54","","","","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Sequim Y,Port Townsend Y/Mountain View Pool,Oak Harbor Community Pool,Other (Please specify) - Seattle Public Pools","More than once a week","Very likely","Somewhat likely","","","Very likely","","","","","Very likely","Very likely","Somewhat likely","Very likely","","Very likely","Very likely","","","More than once a week","","","","","Very likely","Very likely","Very likely","","","Very likely","","","","Very likely","","","More than once a week","Yes","I’m so glad to see this is being looked at!"
"2612","GwEBLJXy","98.97.38.148","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 Instagram 370.0.0.30.84 (iPhone14,3; iOS 18_3_1; en_US; en; scale=3.00; 1284x2778; 703664031; IABMV/1)","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/11/2025 8:54","3/11/2025 8:58","3 mins 56 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Olympic peninsula","35-54","3","","","","","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Port Angeles SHORE Aquatic Center,Other (Please specify) - Forks Athletic Club pool","Several times a month","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","Very likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"2655","V8DTDhgW","24.113.164.242","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/11/2025 21:31","3/11/2025 21:45","13 mins 29 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - 1 1/2 miles south of Port Townsend on Cape George Rd","65-74","2","0","0","0","0","0","2","0","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","It would add new taxes. We are on a fixed income. Our property taxes have gone up every year and things are getting tighter.  We vote NO!!!"
"2666","STEBag2h","146.75.136.231","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/12/2025 8:33","3/12/2025 8:40","6 mins 21 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Port Ludlow","65-74","","","","","","","2","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Yes","Private/HOA pool (e.g. Port Ludlow, Cape George, Kala Point)","Several times a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","No more taxes! We’re done with it. Learn to live within your means and budget accordingly as the rest of us do"
"2846","5bC4Y1k4","24.113.168.171","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","3/20/2025 7:32","3/20/2025 7:38","5 mins 43 secs ","Pool Support and Amenities","Yes, I live here full-time","Other (Please specify) - Port Ludlow","75+","0","0","0","0","0","0","0","2","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"No","","Don't use an aquatic facility","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No",""
