"","Response.ID","IP.address","User.agent","Response.status","Survey.URL","Start.time","Completion.time","Time.taken","Collector","JeffCo.resident","City.area","Age","Under7","7_12","13_18","19_34","35_54","55-64","65_74","75_older","RateNewPoolImportance","Under7_Non.swimmer","Under7_Beginner","Under7_Intermediate","Under7_Advanced","7_12_Non.swimmer","7_12_Beginner","7_12_Intermediate","7_12_Advanced","13_18_Non.swimmer","13_18_Beginner","13_18_Intermediate","13_18_Advanced","19_34_Non.swimmer","19_34_Beginner","19_34_Intermediate","19_34_Advanced","35_54_Non.swimmer","35_54_Beginner","35_54_Intermediate","35_54_Advanced","55-64_Non.swimmer","55-64_Beginner","55-64_Intermediate","55-64_Advanced","65_74_Non.swimmer","65_74_Beginner","65_74_Intermediate","65_74_Advanced","75_older_Non.swimmer","75_older_Beginner","75_older_Intermediate","75_older_Advanced","UsedAquaticsPast2Years","WhichAquaticFacilities","FacilityUsageRate","AquaAmenities_LapSwimming","AquaAmenities_OpenSwim","AquaAmenities_YouthLessons","AquaAmenities_AdultLessons","AquaAmenities_CompetitiveSwim","AquaAmenities_LifeguardTrain","AquaAmenities_Aerobics","AquaAmenities_SyncroSwim","AquaAmenities_SportsLeagues","AquaAmenities_SafetyTrain","AquaAmenities_Therapeutic","AquaAmenities_PartyRental","AquaAmenities_ParentChild","AquaAmenities_Sauna","AquaAmenities_HotTub","AquaAmenities_PublicShower","AquaAmenities_OutdoorPool","AquaAmenities_SplashPark","AquaAmenities_UsageRate","RecAmenities_AfterschoolCamps","RecAmenities_Preschool","RecAmenities_Childcare","RecAmenities_Playgroups","RecAmenities_FitnessClass","RecAmenities_PhysTherapy","RecAmenities_EventSpace","RecAmenities_WellnessClass","RecAmenities_Kitchen","RecAmenities_Cafe","RecAmenities_Gym","RecAmenities_OutPickleball","RecAmenities_InPickleball","RecAmenities_RockClimb","RecAmenities_TeenFit","RecAmenities_TeenCenter","RecAmenities_UsageRate","TaxSupport","Comments"
"1615","JeCKYxwe","73.254.75.38","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 8:07","2/14/2025 8:11","4 mins 12 secs ","Pool Support and Amenities","Yes, I live here part-time","Quilcene","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Ballard","Less than once a month","Somewhat likely","Very likely","","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"1619","gdCYN3Ua","209.166.69.49","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.10 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 8:27","2/14/2025 8:31","4 mins 14 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","65-74","","","","","","","2","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Ballard Pool, Seattle","Less than once a month","Not likely","Very likely","","","","","Very likely","","","","Very likely","","","Very likely","Very likely","Very likely","","","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Less than once a month","Yes",""
"1622","kDDTX514","174.21.89.164","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 8:49","2/14/2025 8:53","4 mins 35 secs ","Pool Support and Amenities","Yes, I live here part-time","Marrowstone","55-64","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - various in Seattle","Less than once a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Less than once a month","I don't know/need more information","Sales taxes are regressive, costing more for people who have less. How about a property tax option?"
"1637","rRkQ5V3A","24.22.19.156","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 12:09","2/14/2025 12:20","10 mins 23 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Portland Oregon Eastside Athletic Center","Less than once a month","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes","As we transition our living to our home in NorthBeach neighborhood (retirement) we know we would great appreciate and benefit from a modern multipurpose aquatic center. In the near term while part time residents will also enjoy this facility."
"1650","aGCK8Lo7","98.97.41.237","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 13:26","2/14/2025 13:32","6 mins 22 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","65-74","","","","","","2","","","Not important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Private","Less than once a month","Somewhat likely","","","","","","","","","","","","","","","","","","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No","Biologically born males only in men’s locker/rest rooms! Biologically born females only in women’s locker/rest rooms!"
"1669","9HDTtKEj","97.113.23.95","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/14/2025 16:21","2/14/2025 16:28","7 mins 7 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","65-74","0","0","0","0","0","0","2","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Phoenix  Arizona","Less than once a month","Not likely","Very likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","I don't know/need more information",""
"1693","Z2C4v6BJ","104.187.197.144","Mozilla/5.0 (Android 14; Mobile; rv:135.0) Gecko/135.0 Firefox/135.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 7:24","2/15/2025 7:35","10 mins 26 secs ","Pool Support and Amenities","Yes, I live here full-time","Chimacum","55-64","0","0","0","0","0","2","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - public pool out of area","Less than once a month","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Several times a month","Yes","In addition to using the facilities in numerous ways I would also VOLUNTEER for youth programs to support the center and my community."
"1705","KRCKKAmo","94.156.149.223","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 13:08","2/15/2025 13:15","6 mins 47 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","","","1","","A","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Location outside of Washington, our previous main address","Less than once a month","Very likely","Very likely","Somewhat likely","","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","More than once a week","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Several times a month","Yes","The facility not matter the location must be accessible for al users. That means open evenings and weekends. Prior to moving to PT we were avid swimmers both recreationally and competitively. Due to the lack of hours available for a working fault we have used the pool twice in two years. Very disappointing the level of service. There should also be a shuttle from PT to the new location so teens and other non drivers without transport can use the facility"
"1706","LxC4deD7","107.77.205.95","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2.1 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 13:27","2/15/2025 13:38","11 mins 43 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","75+","1","","","","","","","","Very important",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - seattle","Don't use an aquatic facility","","","","","","","","","","","","","","","","","","","Less than once a month","","","","","","Somewhat likely","","","","","","","","","","","Less than once a month","Yes",""
"1708","hUB6akiE","24.113.144.197","Mozilla/5.0 (iPhone; CPU iPhone OS 17_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.8 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 14:11","2/15/2025 14:16","5 mins 8 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Harbor Square in Edmonds","Less than once a month","Very likely","Somewhat likely","","","","","Somewhat likely","","","","Very likely","","","","","","Very likely","","More than once a week","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Yes","Lap swimming with reserved times, meaning you do not have to share the lane, are most important to my family. Serious swimmers cannot share a lane, which is why we do not use Mountain View."
"1710","S5B6Gj9A","24.113.150.19","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/15/2025 14:51","2/15/2025 14:59","7 mins 45 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Hadlock-Irondale","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Apache Junction Multi-Generational Center","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes","A new county pool would enhance the quality of life for county residents in so many ways. It would be such a boon for the area."
"1748","6LC4WKpN","24.113.149.209","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/16/2025 16:12","2/16/2025 16:17","4 mins 57 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Ludlow","75+","","","","","","","","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Yes","Other (Please specify) - Port ludlow","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Yes",""
"1769","EzCK03aQ","24.113.167.249","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_10 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/16/2025 21:30","2/16/2025 21:42","12 mins 14 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","35-54","1","0","0","0","2","0","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - We were living in Portland, where there are many pool options","More than once a week","Very likely","Very likely","Very likely","Not likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Less than once a month","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Less than once a month","Yes","Pools are a great place to build community. It’s also incredibly important that people have a place to learn and practice swimming, being that Port Townsend is surrounded by water"
"1772","0zDTbcom","35.91.166.54","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/16/2025 22:37","2/16/2025 22:49","12 mins 20 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","1","1","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Bangor and Bremerton Navy pools","Several times a month","Very likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Very likely","Not likely","Not likely","Not likely","Several times a month","Yes","Try to get a pool with lanes at least 25 meters long to enable lap swimming."
"1787","oGCKvQ0s","208.70.151.96","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/17/2025 9:59","2/17/2025 10:06","6 mins 57 secs ","Pool Support and Amenities","Yes, I live here full-time","Marrowstone","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Seattle public pool","Less than once a month","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Very likely","Not likely","Not likely","Not likely","More than once a week","Yes","Please make this happen!  Hadlock is the perfect location!"
"1788","06DT8bE1","172.56.51.68","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/17/2025 10:00","2/17/2025 10:07","7 mins 17 secs ","Pool Support and Amenities","Yes, I live here full-time","Chimacum","18-34","0","0","0","1","0","0","0","0","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Healthsport in Arcata, CA when I lived there and needed a place to shower","Less than once a month","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Several times a month","Yes","I'm much more interested in the non-aquatic aspects. If it bring folks together, and keeps people active, I think it's a positive thing."
"1794","33C4l8qX","24.113.128.203","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/17/2025 11:00","2/17/2025 11:10","9 mins 26 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","","","","","","","1","","No opinion/more information needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Juneau","Less than once a month","Very likely","","Not likely","Very likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Very likely","Not likely","Not likely","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Yes","I would like to swim several times/week but don't drive so bus to Port Hadlock is not convenient.  Fitness swimming and swim lessons are my highest priority."
"1825","iZfOk6Ng","24.113.144.222","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/17/2025 22:08","2/17/2025 22:15","6 mins 29 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","65-74","0","0","0","0","0","0","2","2","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,"Yes","Other (Please specify) - Utah on vacation","Less than once a month","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Less than once a month","Yes",""
"1873","iVEBVWMX","76.146.191.245","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/18/2025 16:25","2/18/2025 17:27","1 hr 1 min 35 secs ","Pool Support and Amenities","Yes, I live here part-time","Port Townsend (outside the city limits)","55-64","","","","","","2","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Newport Hills Swim and Tennis Club in Bellevue","More than once a week","Very likely","Somewhat likely","Not likely","Not likely","Not likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Very likely","Not likely","Not likely","Very likely","Very likely","Very likely","Not likely","Not likely","More than once a week","Not likely","Not likely","Not likely","Not likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Not likely","Somewhat likely","Not likely","Not likely","Somewhat likely","Not likely","Not likely","More than once a week","Yes","I currently swim year round in my club’s outdoor pool 2-3 times a week. I have a disability and swimming provides a safe exercise regimen. Our swimming is what we will miss most when we move permanently to our new home in PT this summer. 100% supporters for building this new pool!"
"1875","4qDTW47X","24.113.145.39","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/18/2025 16:37","2/18/2025 16:44","6 mins 33 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","0","0","0","0","0","2","0","0","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - While vacationing","Several times a month","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Not likely","Very likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Not likely","Very likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","Not likely","Not likely","Not likely","Not likely","Somewhat likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Not likely","Not likely","Not likely","Several times a month","Yes",""
"1883","91f8qlqN","97.113.176.194","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/18/2025 17:50","2/18/2025 17:53","3 mins 1 sec ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (outside the city limits)","35-54","","","","","2","","","","Very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify) - Out of town","Less than once a month","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Not likely","Somewhat likely","Not likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Very likely","Very likely","Very likely","Somewhat likely","Very likely","Somewhat likely","Several times a month","Very likely","Very likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Very likely","Very likely","Somewhat likely","Somewhat likely","Very likely","Somewhat likely","Somewhat likely","Several times a month","Yes","It’s a great idea and I really hope it happens for our community!"
"1910","kbEBVAg2","24.113.149.242","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1","COMPLETED","https://survey.zohopublic.com/zs/7rClYe?lang=en","2/19/2025 7:10","2/21/2025 8:45","2 day 1 hr 34 mins 38 secs ","Pool Support and Amenities","Yes, I live here full-time","Port Townsend (within city limits)","55-64","","","","","","2","","","No opinion/more information needed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (Please specify)","Less than once a month","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Not likely","Never","No",""
